
=====================
|Traveling the rides|
257682==========22 time: 45722
696 time: 28442
967 time: 30254
2107 time: 34358
13719 time: 48933
275171==========23 time: 48933
1085 time: 26245
1978 time: 29894
1933 time: 31840
827 time: 33606
3551 time: 46055
284545==========24 time: 46055
8522 time: 41591
994 time: 49851
294061==========25 time: 49851
413 time: 29148
541 time: 30130
962 time: 32163
1926 time: 34892
1527 time: 38328
1930 time: 40285
2046 time: 42364
1058 time: 43786
751 time: 45644
305215==========26 time: 45644
1015 time: 21410
822 time: 25959
1650 time: 28243
1411 time: 32184
473 time: 33238
1956 time: 37476
1572 time: 45557
1212 time: 47873
315326==========27 time: 47873
837 time: 32757
1278 time: 38536
1221 time: 43465
823 time: 45665
319485==========28 time: 45665
2569 time: 23886
1182 time: 25088
708 time: 36360
10082 time: 47100
334026==========29 time: 47100
7813 time: 21897
1113 time: 31248
1557 time: 34503
984 time: 36319
2178 time: 39494
598 time: 40705
1314 time: 43611
2457 time: 46674
352040==========30 time: 46674
543 time: 42928
722 time: 46672
1772 time: 49059
355077==========31 time: 49059
821 time: 19653
1159 time: 22197
1689 time: 34142
1074 time: 36471
1637 time: 38908
1458 time: 41721
721 time: 42755
1504 time: 45310
959 time: 47947
366099==========32 time: 47947
9441 time: 13735
1796 time: 33096
11601 time: 45460
388937==========33 time: 45460
1403 time: 5499
608 time: 12381
1219 time: 19440
1770 time: 29444
1694 time: 31814
7426 time: 40066
1714 time: 49483
0 time: 52224
404771==========34 time: 52224
1120 time: 8071
1192 time: 25933
1192 time: 28293
1689 time: 30002
1832 time: 32826
2370 time: 35258
770 time: 36502
7042 time: 45523
421978==========35 time: 45523
643 time: 29349
652 time: 30529
11463 time: 42487
434736==========36 time: 42487
1281 time: 32205
5486 time: 43503
0 time: 49544
0 time: 51474
441503==========37 time: 51474
514 time: 20020
1508 time: 33049
1272 time: 34389
1409 time: 37229
1545 time: 39799
7423 time: 47783
455174==========38 time: 47783
2182 time: 27096
1137 time: 29111
1190 time: 34798
2032 time: 36858
2439 time: 39315
1279 time: 43035
428 time: 44236
465861==========39 time: 44236
1831 time: 22968
1747 time: 28136
1842 time: 35831
786 time: 37412
1552 time: 46507
830 time: 48569
474449==========40 time: 48569
776 time: 33381
635 time: 39361
1286 time: 41459
1421 time: 43683
1511 time: 45234
1262 time: 47646
481340==========41 time: 47646
648 time: 16313
1444 time: 30905
1480 time: 33461
1414 time: 34900
1510 time: 38032
1373 time: 40258
1596 time: 41870
2064 time: 46252
1604 time: 49930
494473==========42 time: 49930
1477 time: 30431
3240 time: 33726
1337 time: 38927
1376 time: 42574
148 time: 42800
1535 time: 49632
503586==========43 time: 49632
1222 time: 34344
1118 time: 37846
468 time: 39149
1204 time: 49636
507598==========44 time: 49636
1084 time: 37344
1253 time: 38619
2526 time: 42802
869 time: 44274
513330==========45 time: 44274
2394 time: 23228
1999 time: 25240
2308 time: 27620
1758 time: 29440
127 time: 34885
1187 time: 36105
871 time: 37284
630 time: 39629
2056 time: 45882
526660==========46 time: 45882
815 time: 22017
507 time: 23196
2080 time: 27696
780 time: 28889
376 time: 30549
2181 time: 33716
1112 time: 37149
1899 time: 40309
3176 time: 44768
2267 time: 49326
541853==========47 time: 49326
506 time: 30911
764 time: 31899
356 time: 33220
2312 time: 37133
2565 time: 39764
1196 time: 42347
2098 time: 45828
936 time: 47702
552586==========48 time: 47702
679 time: 21489
834 time: 22347
1049 time: 24885
2059 time: 27954
2259 time: 37858
1568 time: 41960
284 time: 44064
561318==========49 time: 44064
766 time: 25754
1216 time: 28348
2302 time: 30685
643 time: 31906
1415 time: 35965
700 time: 39348
1793 time: 42099
570153==========50 time: 42099
1785 time: 36111
798 time: 38312
2855 time: 41337
1733 time: 45472
1573 time: 49201
578897==========51 time: 49201
1899 time: 16746
1397 time: 19051
2003 time: 34030
885 time: 36159
1769 time: 40869
988 time: 43159
929 time: 44095
476 time: 45350
339 time: 46678
589582==========52 time: 46678
981 time: 30765
880 time: 36581
1203 time: 39192
607 time: 42428
199 time: 43393
593452==========53 time: 43393
1002 time: 26180
1377 time: 27569
1350 time: 30509
1858 time: 43088
1397 time: 44505
1255 time: 46214
601691==========54 time: 46214
181 time: 28732
730 time: 33740
1656 time: 35407
1507 time: 36969
11451 time: 49115
0 time: 61146
617216==========55 time: 61146
2165 time: 23877
1095 time: 26980
560 time: 29205
421 time: 30718
1639 time: 32901
4228 time: 39248
858 time: 42369
975 time: 48900
629157==========56 time: 48900
1213 time: 39625
710 time: 40351
1522 time: 43392
1176 time: 45783
1612 time: 47904
635390==========57 time: 47904
1101 time: 18276
385 time: 35215
1884 time: 37885
694 time: 40197
918 time: 43399
1255 time: 44856
1258 time: 47406
642885==========58 time: 47406
1580 time: 34160
15082 time: 49266
0 time: 64376
659547==========59 time: 64376
442 time: 33268
1236 time: 39295
712 time: 40494
3198 time: 44639
437 time: 49150
665572==========60 time: 49150
1307 time: 10270
912 time: 21250
7600 time: 45301
0 time: 55727
675391==========61 time: 55727
892 time: 24791
821 time: 31987
4556 time: 37016
2681 time: 41305
825 time: 47575
363 time: 49144
685529==========62 time: 49144
1337 time: 41991
1494 time: 44064
1034 time: 45115
689394==========63 time: 45115
8669 time: 42568
720 time: 49839
698783==========64 time: 49839
994 time: 25618
818 time: 27405
1118 time: 30783
1106 time: 34294
6134 time: 41045
494 time: 47777
709447==========65 time: 47777
1924 time: 4921
1998 time: 23576
9848 time: 49662
723217==========66 time: 49662
1584 time: 25548
243 time: 26982
1539 time: 29583
1217 time: 39723
1077 time: 42972
1066 time: 44190
828 time: 45940
1408 time: 48725
732179==========67 time: 48725
1339 time: 21334
280 time: 23240
1211 time: 25981
1867 time: 30677
624 time: 46219
737500==========68 time: 46219
810 time: 28794
6229 time: 35654
1772 time: 49618
746311==========69 time: 49618
583 time: 11263
2408 time: 18202
1678 time: 21149
1566 time: 22769
582 time: 23711
1259 time: 24986
12507 time: 39761
0 time: 53739
766894==========70 time: 53739
1908 time: 22878
1517 time: 30047
9037 time: 45140
0 time: 54904
779356==========71 time: 54904
941 time: 14029
1023 time: 18784
1575 time: 29044
1977 time: 33050
1476 time: 37716
825 time: 39450
976 time: 44535
622 time: 47004
788771==========72 time: 47004
2336 time: 28288
2598 time: 40332
243 time: 44710
1273 time: 46102
795221==========73 time: 46102
1542 time: 31337
1838 time: 35063
389 time: 36110
1239 time: 38288
1802 time: 45851
227 time: 48200
802258==========74 time: 48200
673 time: 38272
1703 time: 40010
2099 time: 42209
2330 time: 45777
268 time: 47693
809331==========75 time: 47693
386 time: 31829
988 time: 32831
1559 time: 36425
2208 time: 39902
1847 time: 42351
1087 time: 48543
817406==========76 time: 48543
1120 time: 22028
1712 time: 24612
1234 time: 26881
509 time: 28022
809 time: 29295
1667 time: 31271
413 time: 37223
878 time: 40644
788 time: 41709
1055 time: 44339
249 time: 47690
827840==========77 time: 47690
1421 time: 41114
1420 time: 48942
830681==========78 time: 48942
832 time: 34139
1405 time: 37243
1656 time: 38919
2933 time: 44864
702 time: 48742
383 time: 49583
838592==========79 time: 49583
1307 time: 34595
876 time: 36666
645 time: 37769
600 time: 45222
2354 time: 48398
844374==========80 time: 48398
906 time: 28152
825 time: 29511
555 time: 37838
1658 time: 40193
1428 time: 42039
2078 time: 46394
765 time: 48308
852589==========81 time: 48308
2027 time: 13107
2018 time: 30337
1342 time: 34064
1443 time: 36289
1476 time: 38660
1917 time: 43036
1520 time: 46195
864332==========82 time: 46195
2222 time: 14313
1872 time: 18204
756 time: 28082
1318 time: 30068
953 time: 48643
871453==========83 time: 48643
1259 time: 22504
2383 time: 26053
7722 time: 35088
889 time: 46007
883706==========84 time: 46007
2048 time: 18047
1479 time: 20025
2005 time: 28509
1491 time: 30057
2385 time: 37434
503 time: 40984
304 time: 45786
893921==========85 time: 45786
1827 time: 23191
1490 time: 27015
2380 time: 36900
3032 time: 41513
1681 time: 46792
904331==========86 time: 46792
835 time: 33270
6992 time: 42618
0 time: 53106
912158==========87 time: 53106
563 time: 14957
1526 time: 23636
1215 time: 25159
166 time: 26379
1852 time: 30271
596 time: 31006
1996 time: 34929
1128 time: 37451
1069 time: 39710
1653 time: 42693
656 time: 43915
731 time: 48251
925309==========88 time: 48251
842 time: 33527
1044 time: 35084
1092 time: 36459
812 time: 38535
1821 time: 41122
1057 time: 43731
931977==========89 time: 43731
361 time: 26745
1702 time: 29768
1766 time: 31949
794 time: 33406
1392 time: 35596
1005 time: 36654
1886 time: 38582
2305 time: 40929
1442 time: 49473
944630==========90 time: 49473
1704 time: 34624
1010 time: 39725
1005 time: 41924
1426 time: 43363
1471 time: 46516
381 time: 47143
951627==========91 time: 47143
1938 time: 26068
2187 time: 35537
1562 time: 48663
957314==========92 time: 48663
335 time: 17025
12698 time: 32350
2397 time: 48286
972744==========93 time: 48286
2663 time: 29605
1960 time: 33806
828 time: 49655
978195==========94 time: 49655
1119 time: 25091
1334 time: 27896
1594 time: 37059
1262 time: 44142
586 time: 47118
604 time: 49524
984694==========95 time: 49524
181 time: 33918
627 time: 35607
1552 time: 37191
3174 time: 40492
1600 time: 44669
991828==========96 time: 44669
674 time: 21769
881 time: 24985
2609 time: 30038
8310 time: 44880
0 time: 57370
1004302==========97 time: 57370
799 time: 17791
1655 time: 21269
2477 time: 28105
1155 time: 31658
1614 time: 33301
2270 time: 37331
737 time: 47451
1015009==========98 time: 47451
234 time: 19567
1677 time: 23524
1464 time: 34038
1538 time: 43099
550 time: 44592
1282 time: 46847
1021754==========99 time: 46847
779 time: 38070
2081 time: 40928
1062 time: 42001
1344 time: 44825
1344 time: 47497
1028364==========100 time: 47497
1132 time: 24213
1591 time: 25837
1308 time: 28458
7816 time: 37357
1149 time: 46489
1041360==========101 time: 46489
971 time: 16377
1228 time: 26464
2165 time: 29440
1254 time: 32361
1003 time: 43588
1115 time: 46415
343 time: 47827
1049439==========102 time: 47827
491 time: 5138
1323 time: 26773
1442 time: 35194
1778 time: 38584
1262 time: 39863
1645 time: 42998
1493 time: 48237
1058873==========103 time: 48237
1377 time: 18992
1252 time: 29005
10271 time: 45601
0 time: 57417
1071773==========104 time: 57417
533 time: 17247
851 time: 21697
416 time: 25801
8610 time: 34935
1790 time: 44692
727 time: 47432
1084700==========105 time: 47432
333 time: 29138
1370 time: 31284
825 time: 33261
14033 time: 47310
0 time: 62271
1101261==========106 time: 62271
1529 time: 28882
1197 time: 30480
984 time: 33573
1033 time: 35291
1088 time: 38071
1026 time: 40162
1093 time: 41803
1438 time: 49332
1110649==========107 time: 49332
736 time: 30771
2745 time: 35565
599 time: 49929
1114729==========108 time: 49929
1059 time: 23540
1022 time: 25270
981 time: 26738
1254 time: 32076
1617 time: 37894
1040 time: 40648
878 time: 42712
722 time: 43923
651 time: 44809
1806 time: 47301
1125759==========109 time: 47301
1280 time: 17315
439 time: 19315
1030 time: 21025
8079 time: 29931
724 time: 47279
1137311==========110 time: 47279
989 time: 35576
2289 time: 42179
2036 time: 44245
413 time: 48656
1143038==========111 time: 48656
323 time: 14625
1158 time: 16412
431 time: 22513
730 time: 24714
2391 time: 28659
1759 time: 31013
784 time: 33155
1496 time: 36024
1031 time: 38236
1261 time: 40254
894 time: 41341
387 time: 43521
1327 time: 45266
576 time: 46862
1157586==========112 time: 46862
532 time: 9404
687 time: 18422
2464 time: 22766
598 time: 24547
1492 time: 26694
1007 time: 29940
1212 time: 31389
1401 time: 33568
454 time: 35306
2346 time: 37732
1051 time: 40562
1026 time: 41612
1308 time: 46880
459 time: 49407
1173623==========113 time: 49407
1269 time: 26887
859 time: 29038
1096 time: 31069
6861 time: 38080
413 time: 46691
1184121==========114 time: 46691
883 time: 19035
2367 time: 23016
1406 time: 24515
1435 time: 29367
2794 time: 32166
1735 time: 41443
663 time: 49590
1195404==========115 time: 49590
835 time: 33407
360 time: 33979
1919 time: 39838
2418 time: 42310
676 time: 48312
1201612==========116 time: 48312
1927 time: 25401
606 time: 31387
12770 time: 44163
0 time: 58008
1216915==========117 time: 58008
780 time: 10390
1976 time: 24026
2016 time: 26089
985 time: 29281
620 time: 36804
1373 time: 46222
1224665==========118 time: 46222
670 time: 38271
995 time: 40955
1130 time: 43177
1578 time: 46633
1229038==========119 time: 46633
1083 time: 33825
2064 time: 41205
493 time: 42606
455 time: 43079
689 time: 46347
1233822==========120 time: 46347
713 time: 25086
1461 time: 28318
566 time: 30292
1152 time: 34273
2007 time: 38291
848 time: 39166
1183 time: 42360
1335 time: 44406
579 time: 46137
1242 time: 47471
665 time: 49466
1245573==========121 time: 49466
1219 time: 29621
756 time: 31194
1597 time: 34707
1678 time: 38322
1683 time: 40531
1003 time: 49480
1253509==========122 time: 49480
4334 time: 33000
2309 time: 38345
1089 time: 40175
465 time: 41685
1328 time: 44576
1111 time: 48257
1264145==========123 time: 48257
1522 time: 40543
1103 time: 43241
1974 time: 46414
222 time: 47871
1268966==========124 time: 47871
1526 time: 10796
15025 time: 37329
0 time: 52041
1285517==========125 time: 52041
1173 time: 19988
566 time: 23920
1039 time: 26577
528 time: 30575
1181 time: 32607
591 time: 33224
1374 time: 38338
752 time: 39847
950 time: 40992
1569 time: 43525
1295240==========126 time: 43525
366 time: 30402
2103 time: 32521
852 time: 36082
871 time: 38883
750 time: 40229
1825 time: 43511
987 time: 44770
652 time: 46267
519 time: 47523
1304165==========127 time: 47523
7244 time: 45360
1311409==========128 time: 45360
387 time: 19652
2108 time: 24968
1271 time: 44268
1403 time: 45689
1575 time: 47671
1318153==========129 time: 47671
376 time: 29429
1590 time: 31043
1976 time: 33060
1689 time: 40852
884 time: 46883
579 time: 48685
1325247==========130 time: 48685
1095 time: 28507
1530 time: 34320
2346 time: 37632
753 time: 47247
1330971==========131 time: 47247
1338 time: 11861
13537 time: 29236
2603 time: 45972
427 time: 48584
1348876==========132 time: 48584
1623 time: 26006
1489 time: 29888
8907 time: 40953
0 time: 50145
1360895==========133 time: 50145
1375 time: 22734
1777 time: 26924
1802 time: 30834
1073 time: 31942
682 time: 32633
793 time: 33686
2130 time: 37423
1207 time: 38634
1116 time: 39772
1425 time: 41225
935 time: 44637
725 time: 48166
1375935==========134 time: 48166
1398 time: 42856
1515 time: 45905
1772 time: 48744
1380620==========135 time: 48744
2281 time: 22902
729 time: 27659
1331 time: 30334
659 time: 32039
709 time: 33315
1166 time: 35184
419 time: 36749
1875 time: 39770
1826 time: 41632
1494 time: 44433
1117 time: 46565
436 time: 47387
1394662==========136 time: 47387
183 time: 43603
1533 time: 45173
1427 time: 48082
1397805==========137 time: 48082
635 time: 23654
1773 time: 26290
1601 time: 35012
2534 time: 39488
1381 time: 44494
724 time: 49168
1406453==========138 time: 49168
1623 time: 34864
2108 time: 37466
1491 time: 39000
1541 time: 40557
1365 time: 41939
762 time: 49040
1415343==========139 time: 49040
1761 time: 28421
1215 time: 29646
2264 time: 31930
656 time: 40884
975 time: 41874
627 time: 47772
1422841==========140 time: 47772
745 time: 32676
594 time: 34385
1149 time: 35696
1182 time: 36981
1113 time: 39736
707 time: 40467
1519 time: 43258
887 time: 45068
1703 time: 47039
1432440==========141 time: 47039
996 time: 32941
605 time: 34830
2341 time: 37956
7572 time: 45568
0 time: 55429
1443954==========142 time: 55429
709 time: 42115
1402 time: 44312
841 time: 46194
622 time: 47025
1447528==========143 time: 47025
1247 time: 10074
6512 time: 17309
698 time: 25260
1675 time: 29541
465 time: 31227
571 time: 32124
489 time: 33631
8634 time: 42626
1467819==========144 time: 42626
787 time: 40629
1186 time: 43247
861 time: 45318
1470653==========145 time: 45318
892 time: 34366
930 time: 37686
1027 time: 39538
1440 time: 42349
1151 time: 44537
940 time: 46448
1477033==========146 time: 46448
1664 time: 15656
7874 time: 33391
1184 time: 41487
1600 time: 43421
2854 time: 48246
1492209==========147 time: 48246
1966 time: 32931
1947 time: 34907
8578 time: 44843
0 time: 55412
1504700==========148 time: 55412
1377 time: 28336
1231 time: 30879
1609 time: 34493
142 time: 34993
1340 time: 37996
1384 time: 39419
852 time: 41845
1437 time: 44329
1514072==========149 time: 44329
7379 time: 46377
1521451==========150 time: 46377
1407 time: 19751
2057 time: 21823
8058 time: 32083
1278 time: 41824
338 time: 46145
905 time: 48100
1535494==========151 time: 48100
643 time: 15325
1670 time: 35046
1107 time: 37750
757 time: 38805
1033 time: 46114
1540704==========152 time: 46114
790 time: 35599
725 time: 37381
832 time: 39842
1290 time: 41875
1160 time: 43198
989 time: 44814
1556 time: 48350
1548046==========153 time: 48350
942 time: 29551
770 time: 32439
1089 time: 34201
1509 time: 35712
935 time: 37751
1808 time: 42152
463 time: 45236
659 time: 47339
1556221==========154 time: 47339
375 time: 32520
903 time: 34372
1110 time: 38586
6134 time: 45015
1564743==========155 time: 45015
1258 time: 29248
1523 time: 32283
1691 time: 33987
1397 time: 35399
1739 time: 43154
1497 time: 47606
1573848==========156 time: 47606
1812 time: 37013
1456 time: 38490
2121 time: 42282
662 time: 45016
1539 time: 47205
669 time: 49253
1582107==========157 time: 49253
346 time: 35826
1880 time: 39277
709 time: 40411
1939 time: 43291
1904 time: 48094
251 time: 49052
1589136==========158 time: 49052
1065 time: 34787
1124 time: 39490
2093 time: 42247
863 time: 43219
717 time: 45625
1594998==========159 time: 45625
402 time: 25213
1004 time: 29375
903 time: 30534
620 time: 31938
680 time: 32911
8081 time: 41929
202 time: 49940
1606890==========160 time: 49940
2129 time: 27593
1698 time: 30406
2750 time: 34245
749 time: 35419
593 time: 36296
1521 time: 37831
637 time: 48812
1616967==========161 time: 48812
1438 time: 42980
1574 time: 45971
1619979==========162 time: 45971
1446 time: 5954
851 time: 18974
898 time: 19893
2199 time: 23589
1627 time: 27261
1546 time: 29385
716 time: 33866
7435 time: 41813
890 time: 49599
1637587==========163 time: 49599
880 time: 16780
1288 time: 19424
1794 time: 24249
3032 time: 29376
2258 time: 34377
14158 time: 49981
1660997==========164 time: 49981
1709 time: 23185
2396 time: 27036
1165 time: 28243
628 time: 45936
1666895==========165 time: 45936
1463 time: 26957
617 time: 27847
1511 time: 30488
3402 time: 34417
1456 time: 37692
1816 time: 39924
905 time: 44392
1053 time: 46501
1679118==========166 time: 46501
930 time: 20453
940 time: 25739
1064 time: 27345
2317 time: 31328
1841 time: 34580
2660 time: 37414
465 time: 40805
2453 time: 45524
1319 time: 46864
922 time: 49111
1694029==========167 time: 49111
2582 time: 35348
2624 time: 38224
1314 time: 39950
1714 time: 44940
1951 time: 48810
1704214==========168 time: 48810
621 time: 39633
2013 time: 42836
1304 time: 44842
1729 time: 47643
1709881==========169 time: 47643
1238 time: 39582
2659 time: 42249
1403 time: 49656
1715181==========170 time: 49656
1204 time: 15446
1168 time: 18482
1685 time: 28728
5025 time: 35262
1363 time: 44344
1653 time: 47100
1727279==========171 time: 47100
2009 time: 33268
1584 time: 39372
1395 time: 46221
704 time: 47636
484 time: 49533
1733455==========172 time: 49533
1842 time: 19619
881 time: 29052
1178 time: 31237
1191 time: 34383
1029 time: 36951
1013 time: 38062
1310 time: 45281
1814 time: 49263
1743713==========173 time: 49263
663 time: 31255
1597 time: 33436
1777 time: 41232
444 time: 43311
1748194==========174 time: 43311
1890 time: 37739
1585 time: 39344
1184 time: 42000
1812 time: 45671
594 time: 48406
1755259==========175 time: 48406
4443 time: 20245
1725 time: 24638
926 time: 26083
3487 time: 30657
1003 time: 34075
811 time: 35123
1445 time: 38018
1016 time: 40233
367 time: 41996
1286 time: 43854
2443 time: 47415
1774211==========176 time: 47415
855 time: 22194
1616 time: 24150
958 time: 26130
1183 time: 27680
1375 time: 30405
2119 time: 34557
8980 time: 49774
1791297==========177 time: 49774
1249 time: 33281
226 time: 38356
988 time: 40538
1699 time: 43739
1470 time: 49198
1796929==========178 time: 49198
2958 time: 43094
265 time: 46750
1800152==========179 time: 46750
2970 time: 34019
2068 time: 36352
1941 time: 39731
1411 time: 44955
558 time: 45725
1356 time: 47809
1810456==========180 time: 47809
508 time: 31289
588 time: 32459
292 time: 33706
937 time: 36310
174 time: 47537
1812955==========181 time: 47537
394 time: 34042
3049 time: 37828
371 time: 43837
574 time: 46162
1817343==========182 time: 46162
1142 time: 25622
1103 time: 31137
235 time: 31523
533 time: 32931
1560 time: 35388
2087 time: 37986
1333 time: 43906
1381 time: 45492
548 time: 46167
1827265==========183 time: 46167
221 time: 31803
547 time: 33034
1754 time: 36075
1582 time: 38037
1126 time: 40519
935 time: 45341
1833430==========184 time: 45341
1368 time: 30287
78 time: 31380
2083 time: 34160
1708 time: 36319
995 time: 38221
828 time: 40554
1097 time: 42524
1241 time: 44509
1049 time: 46102
1843877==========185 time: 46102
1303 time: 34276
703 time: 36275
740 time: 40588
415 time: 41219
728 time: 41956
1828 time: 43992
1849594==========186 time: 43992
381 time: 34624
349 time: 35906
8463 time: 45666
1858787==========187 time: 45666
1894 time: 38863
2165 time: 43743
797 time: 45685
525 time: 49711
1864168==========188 time: 49711
9745 time: 37664
282 time: 49435
1874195==========189 time: 49435
398 time: 4377
857 time: 16411
1187 time: 37315
919 time: 39404
1420 time: 40866
1449 time: 43123
1880425==========190 time: 43123
433 time: 31878
1038 time: 33686
1684 time: 35377
1940 time: 37329
2375 time: 41246
1869 time: 43198
1650 time: 46738
662 time: 49163
1892076==========191 time: 49163
952 time: 11616
1391 time: 25519
937 time: 27336
1202 time: 29152
281 time: 33253
811 time: 34074
427 time: 39230
1129 time: 40471
319 time: 41652
1598 time: 44830
976 time: 49291
1902099==========192 time: 49291
601 time: 30202
861 time: 31071
2845 time: 35359
1624 time: 38992
1824 time: 41686
382 time: 47113
1910236==========193 time: 47113
1423 time: 18122
338 time: 30170
1404 time: 33523
1590 time: 35437
1802 time: 37271
644 time: 47101
1917437==========194 time: 47101
1043 time: 35070
1113 time: 40585
1417 time: 42495
1576 time: 44105
765 time: 45628
927 time: 47737
1924278==========195 time: 47737
951 time: 14665
1596 time: 22031
9790 time: 32452
936 time: 43822
1425 time: 45846
589 time: 47303
1939565==========196 time: 47303
1784 time: 32071
1683 time: 34715
438 time: 35509
1255 time: 37418
1627 time: 47829
1946352==========197 time: 47829
315 time: 31361
1472 time: 37204
1840 time: 40044
166 time: 42643
1824 time: 46051
954 time: 47876
1952923==========198 time: 47876
791 time: 39105
783 time: 40840
1081 time: 41931
2227 time: 45777
1957805==========199 time: 45777
566 time: 37006
1768 time: 38786
1858 time: 43434
1308 time: 45785
1963305==========200 time: 45785
1018 time: 31986
2130 time: 34907
2045 time: 41718
735 time: 44283
1389 time: 49325
1970622==========201 time: 49325
7908 time: 39266
2283 time: 47684
1980813==========202 time: 47684
622 time: 19936
359 time: 30066
679 time: 35301
1481 time: 37539
823 time: 46128
1984777==========203 time: 46128
716 time: 23437
708 time: 28530
979 time: 29532
666 time: 31180
16645 time: 49599
2004491==========204 time: 49599
686 time: 14504
2290 time: 19336
1451 time: 28691
560 time: 30174
2302 time: 33085
1079 time: 34294
1009 time: 35410
1983 time: 37407
1527 time: 39314
2759 time: 43493
2020137==========205 time: 43493
793 time: 13107
8217 time: 21339
1737 time: 31758
864 time: 47621
2031748==========206 time: 47621
2043 time: 20406
810 time: 22766
855 time: 24521
1431 time: 26391
1335 time: 32131
1242 time: 33554
388 time: 34409
516 time: 35970
612 time: 37300
1104 time: 38772
813 time: 40293
762 time: 41834
100 time: 46861
2043759==========207 time: 46861
1262 time: 25431
1100 time: 30919
722 time: 32254
1697 time: 41989
501 time: 49246
2049041==========208 time: 49246
1645 time: 20275
2352 time: 24821
2429 time: 29937
791 time: 31827
1044 time: 33729
1471 time: 35609
1543 time: 37157
1956 time: 40386
1961 time: 45043
2064233==========209 time: 45043
996 time: 34736
618 time: 37470
1505 time: 39877
1189 time: 42210
516 time: 43262
421 time: 46078
1772 time: 48926
2071250==========210 time: 48926
1482 time: 30695
2899 time: 37221
1220 time: 49414
2076851==========211 time: 49414
1794 time: 38601
1315 time: 41546
1861 time: 46921
830 time: 47859
1164 time: 49967
2083815==========212 time: 49967
673 time: 29093
1190 time: 34896
1238 time: 40405
424 time: 41500
874 time: 47019
2088214==========213 time: 47019
994 time: 38173
1609 time: 41318
1109 time: 42973
876 time: 46558
1576 time: 49494
2094378==========214 time: 49494
985 time: 37448
2142 time: 40855
726 time: 42725
927 time: 43785
1219 time: 46006
188 time: 49479
2100565==========215 time: 49479
2192 time: 32062
1839 time: 33903
843 time: 35718
1277 time: 38463
2168 time: 41446
638 time: 44644
1425 time: 47234
2110947==========216 time: 47234
470 time: 28367
514 time: 31537
640 time: 32677
1623 time: 34761
1230 time: 37113
1874 time: 40032
1167 time: 42121
955 time: 43147
1054 time: 45306
2120474==========217 time: 45306
903 time: 35754
1051 time: 36818
1689 time: 40072
946 time: 48998
2125063==========218 time: 48998
1639 time: 40618
2004 time: 47389
1551 time: 49400
2130257==========219 time: 49400
854 time: 18049
771 time: 21202
